country_name,year,y_v2x_polyarchy,y_e_p_polity,y_BR_Democracy,y_BMR_democracy,WB_GDPgrowth,WB_GDPpc,WB_Inflation
Austria,2005,0.855,10.0,1.0,1.0,2.24406532463878,38403.1338770715,2.29913882222146
Austria,2006,0.863,10.0,1.0,1.0,3.4540418361412204,40635.281815972405,1.44154696188379
Austria,2007,0.885,10.0,1.0,1.0,3.72741530093519,46855.7717452095,2.1685559982403704
Austria,2008,0.884,10.0,1.0,1.0,1.4604236757386002,51708.7657541758,3.2159502295349105
Austria,2009,0.894,10.0,1.0,1.0,-3.76457817791677,47963.1794023217,0.506308350120954
Austria,2010,0.871,10.0,1.0,1.0,1.83709367680054,46858.0432733717,1.81353628033681
Austria,2011,0.89,10.0,1.0,1.0,2.92279728368581,51374.9584066934,3.28658197365512
Austria,2012,0.872,10.0,1.0,1.0,0.680445576816723,48567.69528642,2.4856735286006804
Austria,2013,0.868,10.0,1.0,1.0,0.0255047121972183,50716.708706286394,2.00015891157196
Austria,2014,0.8740000000000001,10.0,1.0,1.0,0.661272848852605,51717.495940551504,1.60580414549751
Austria,2015,0.867,10.0,1.0,1.0,1.01450158590511,44178.047377743205,0.896565315628228
Austria,2016,0.852,10.0,1.0,,2.08260842829317,45237.805092154296,0.8915923673027321
Austria,2017,0.835,10.0,1.0,,2.47644392123686,47431.630607607,2.08126858275521
France,2005,0.868,9.0,1.0,1.0,1.6632200004964095,34760.1877663866,1.74586936380481
France,2006,0.8909999999999999,9.0,1.0,1.0,2.44932360050809,36443.6234414411,1.67512449608728
France,2007,0.883,9.0,1.0,1.0,2.4247362379150803,41508.4339850416,1.4879980595385802
France,2008,0.899,9.0,1.0,1.0,0.254945945817809,45334.1144358246,2.81286194914787
France,2009,0.8909999999999999,9.0,1.0,1.0,-2.8733138520625494,41575.4187483737,0.0876204781574529
France,2010,0.898,9.0,1.0,1.0,1.9494376332686896,40638.33400426,1.53112270420924
France,2011,0.8740000000000001,9.0,1.0,1.0,2.1927006520261,43790.7320482019,2.11159795174997
France,2012,0.8859999999999999,9.0,1.0,1.0,0.31313474167846805,40874.7035053457,1.95419531613507
France,2013,0.862,9.0,1.0,1.0,0.576326679441848,42592.934094334196,0.863715497861826
France,2014,0.8740000000000001,9.0,1.0,1.0,0.956183047683851,43008.647381710696,0.507758822937957
France,2015,0.8759999999999999,9.0,1.0,1.0,1.1129123405747,36613.3752159613,0.0375143805125363
France,2016,0.87,9.0,1.0,,1.09546439462306,36962.222290118,0.18333486112384806
France,2017,0.882,9.0,1.0,,2.2602027208113102,38679.127148241896,1.03228275064674
